ATK-terminaal	ATK-terminaal+N+Sg+Nom
kyermis	kyermis+A+Sg+Nom

kyevtis	kyevtis+N+Coll+Sg+Nom


káisákisákeeppil	káisákisákeeppil+N+Sg+Nom

kálluh	kálluh+N+Sg+Nom


káálluh	káálluh+N+Sg+Nom

káálsuh	káálsuh+N+Sg+Nom

käccivuotâ	käccivuotâ+N+Sg+Nom

kädisergi	kädisergi+N+Sg+Nom

kärbee	kärbee+N+Sg+Nom
kärbee	karbâđ+V+PrsPrc
kärbee	karbâđ+V+Der/NomAg+N+Sg+Nom
kärbee	karbâđ+V+Imprt+Du2

kättiergi	kättiergi+N+Sg+Nom

käviliskiärppáákuobâr	käävvil+A+Cmp/Attr+Cmp#kiärpáš+N+Cmp/SgGen+Cmp#kuobâr+N+Sg+Nom
käviliskiärppáákuobâr	käviliskiärppáákuobâr+N+Sg+Nom

käädis	käädis+N+Sg+Nom

lanjâsaččinlodde	lanjâsaččinlodde+N+Sg+Nom





liivtes	liivtes+A+Sg+Nom



livtes	liivtes+A+Attr

luksâ	luksâ+N+Sg+Nom



luommiđ	luommiđ+V+Inf
luommiđ	luommiđ+V+Imprt+Pl2

luosâveejeeh	luosâ+N+Cmp/SgGen+Cmp#veejeeh+N+Sg+Nom
luosâveejeeh	luosâ+N+Cmp/SgNom+Cmp#veejeeh+N+Sg+Nom
luosâveejeeh	luosâveejeeh+N+Sg+Nom


luáidu	luáidu+N+Sg+Nom



luážži	luážži+N+Sg+Nom

lyeppih	lyeppih+N+Sg+Nom

lápčupäiđi	lápčupäiđi+N+Sg+Nom
lápčupäiđi	lápču+A+Cmp/Attr+Cmp#päiđi+N+Sg+Nom


maajeeldkietân	maajeeldkietân+Adv




mai	mai+CC
mai	mai+Pcle

maigârdiđ	maigârdiđ+V+Inf
maigârdiđ	maigârdiđ+V+Imprt+Pl2




manjepeeli	manje+N+Cmp/SgGen+Cmp#peeli+N+Sg+Nom
manjepeeli	manje+N+Cmp/SgNom+Cmp#peeli+N+Sg+Nom
manjepeeli	manjepeeli+N+Sg+Nom

maŋeskiđđâ	maŋes+A+Cmp/Attr+Cmp#kiđđâ+N+Sg+Nom
maŋeskiđđâ	maŋeskiđđâ+N+Sg+Nom




meeđđiđ	meeđđiđ+V+Inf
meeđđiđ	meeđđiđ+V+Imprt+Pl2



miehtii	miehtii+A+Sg+Nom


mieskâšoovkâh	mieskâšoovkâh+N+Sg+Nom

mieskâšovkkâheh	mieskâšoovkâh+N+Pl+Nom

miestâaččinlodde	miestâaččinlodde+N+Sg+Nom

miesârokke	miesârokke+N+Sg+Nom

mirkkânääpih	mirkkâ+N+Cmp/SgNom+Cmp#näppi+N+Pl+Nom
mirkkânääpih	mirkkânääpih+N+Sg+Nom

missiđ	missiđ+V+Inf
missiđ	missiđ+V+Imprt+Pl2

miäcástuđ	miäcástuđ+V+IV+Inf
miäcástuđ	miäcástuđ+V+IV+Imprt+Pl2
